1056	2624	480	480
1056	0	480	480
1056	2400	64	226
1504	480	32	2144
1120	2400	96	32
1248	2496	96	32
1440	2432	64	32
1506	2696	64	608
1506	2304	32	96
1280	2272	128	32
1184	2144	96	32
1248	2016	128	32
1376	1920	96	32
1152	1888	96	32
1280	1760	96	32
1120	1696	96	32
1056	736	64	864
1056	480	96	160
1248	1536	128	32
1376	1440	96	32
1152	1408	96	32
1280	1280	96	32
1120	1216	96	32
1248	1506	128	32
1378	960	96	32
1152	928	96	32
1280	800	96	32
1280	736	96	32
0	480	1504	32
0	480	32	480
0	928	1504	32
32	768	224	160
