1056	2624	480	480
1056	0	480	480
1056	2400	64	226
1504	480	32	2144
1120	2400	96	32
1248	2496	96	32
1440	2432	64	32
1506	2696	64	608
1280	2272	128	32
1184	2144	96	32
1248	2016	128	32
1376	1920	96	32
1152	1888	96	32
1280	1760	96	32
1120	1696	96	32
992	736	128	864
992 	480 	128 	160
1248	1536	128	32
1376	1440	96	32
1152	1408	96	32
1280	1280	96	32
1120	1216	96	32
1248	1056	128	32
1378	960	96	32
1152	928	96	32
1280	800	96	32
1120	736	96	32
0	480	1054	32
0	480	32	480
0 	928 	1054	32
32	768	224	160
96	512	128	62
96	576	98	64
320	508	32	162
420	508	88	64
576	508	32	162
678	508	88	64
832	508	32	162
934	508	58	64
992	738	64	218
576	896	476	32
320	738	32	220
352	864	62	28
576	738	32	220
832	738	32	220
640	864	28	28
768	864	28	28
928	736	64	16
672	736	88	16
416	736	88	16
544	1440	510	64
544	1440	64	480
544	1888	510	32
992	1440	64	160
1024	1696	96	608
992	1760	32	96
606	1504	32	158
606	1728	32	96
672	1696	124	32
704	1726	252	32
1056	2304	32	96
1056	1600	64	92
1056	640	96	96
END
