9536	3396	32	20	3
9344	3172	32	20	3
9472	3136	36	32	0
9280	2916	32	20	3
9440	2880	36	32	0
9536	2784	36	32	1
9312	2752	36	32	0
9440	2624	36	32	0
9568	2660	32	20	3
9280	2436	32	20	3
9440	2400	36	32	0
9536	2304	36	32	1
9312	2272	36	32	0
9568	2180	32	20	3
9440	2144	36	32	0
9280	1956	32	20	3
9440	1920	36	32	0
9536	1824	36	32	1
9312	1792	36	32	0
9440	1664	36	32	0
9568	1700	32	20	3
9280	1476	32	20	3
9440	1440	36	32	0
9536	1344	36	32	1
9312	1312	36	32	0
9440	1184	36	32	0
9568	1220	32	20	3
9280	996	32	20	3
9440	960	36	32	0
9536	864	36	32	1
9312	832	36	32	0
9440	704	36	32	0
9568	740	32	20	3
9280	516	32	20	3
9440	480	36	32	0
9536	384	36	32	1
9312	352	36	32	0
9440	224	36	32	0
9568	260	32	20	3
