2528	0	64	480
3040	0	64	480	
5088	0	64	480
0	0	512	480
0	416	5152	64
608	352	32	64
640	384	32	32
704	320	32	96
768	384	32	32
800	352	32	64
832	128	128	128
864	192	128	128
896	256	128	128
1184	96	32	224
1216	160	32	160
1344	160	32	160
1376	96	32	224
1184	384	224	32
2368	256	128	32
2496	256	640	160
2688	192	256	32
2496	64	128	96
3008	64	128	96
3136	256	96	32
4224	64	256	320
4928	256	128	32
5056	256	128	160
5056	64	128	96
0	0	5152	64
512	64	32	32
1024	64	32	32
1280	64	32	32
1536	64	32	32
1792	64	32	32
2048	64	32	32
2848	64	32	32
3136	64	32	32
3392	64	32	32
3584	64	32	32
3840	64	32	32
4480	64	32	32
4608	64	32	32
END
