640	128	36	32	2	0
1184	416	36	32	2	0
1376	416	36	32	2	0
1664	448	36	52	2	2
1792	384	36	52	2	2
1984	416	36	52	2	2
2304	96	36	32	2	0
2400	256	36	32	2	0

2752	320	36	32	2	0
2880	320	36	32	2	1
2848	64	36	32	2	0

3296	96	36	32	2	0
3424	96	36	32	2	0
3360	416	36	52	2	2
3392	384	36	52	2	2
3712	448	36	52	2	2
3840	384	36	52	2	2
4032	416	36	52	2	2
4096	96	36	32	2	0
4478	352	52	42	2	4
4864	96	36	32	2	0
4960	256	36	32	2	0

5372	1856	36	32	2	0
5504	1824	32	20	2	3
5248	1728	36	32	2	0
5472	1696	36	32	2	1
5372	1600	36	32	2	0
5216	1568	32	20	2	3
5372	1376	36	32	2	0
5504	1344	32	20	2	3
5248	1248	36	32	2	0
5472	1216	36	32	2	1
5376	1120	36	32	2	0
5216	1088	32	20	2	3
5376	896	36	32	2	0
5504	864	32	20	2	3
5248	768	36	32	2	0
5472	736	36	32	2	1
5376	640	36	32	2	0
5216	608	32	20	2	3
5408	384	36	32	2	0
5280	352	32	20	2	3
5472	128	32	20	2	3

4798	988	62	92	2	5
4192	1936	160	128	2	6

END
